provider,month,service,usage_units,cost_usd
GCP,2025-10-01,Compute Engine,364.87,1101.27
GCP,2025-10-01,Cloud Storage,486.13,407.14
GCP,2025-10-01,BigQuery,372.6,961.05
GCP,2025-10-01,GKE,172.51,605.31
GCP,2025-10-01,Cloud Monitoring,456.17,224.1
GCP,2025-11-01,Compute Engine,141.06,612.24
GCP,2025-11-01,Cloud Storage,310.65,450.43
GCP,2025-11-01,BigQuery,435.48,310.91
GCP,2025-11-01,GKE,373.76,939.2
GCP,2025-11-01,Cloud Monitoring,332.29,586.66
GCP,2025-12-01,Compute Engine,342.43,750.83
GCP,2025-12-01,Cloud Storage,237.11,211.2
GCP,2025-12-01,BigQuery,272.3,164.94
GCP,2025-12-01,GKE,115.04,476.25
GCP,2025-12-01,Cloud Monitoring,314.44,231.68
GCP,2026-01-01,Compute Engine,466.3,304.24
GCP,2026-01-01,Cloud Storage,206.09,747.55
GCP,2026-01-01,BigQuery,60.26,758.19
GCP,2026-01-01,GKE,267.04,1155.24
GCP,2026-01-01,Cloud Monitoring,87.23,965.35
GCP,2026-02-01,Compute Engine,270.82,645.59
GCP,2026-02-01,Cloud Storage,307.28,1132.85
GCP,2026-02-01,BigQuery,170.14,631.37
GCP,2026-02-01,GKE,284.3,478.09
GCP,2026-02-01,Cloud Monitoring,59.73,594.02
